SentenceA,SentenceB,Sample,A_B_neut,A_B_cont,A_B_ent,A_B_Label,B_A_neut,B_A_cont,B_A_ent,B_A_Label,Type
Unfortunately the hotel is missing the availability of a pool.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9438342452049255,0.054271019995212555,0.001894689630717039,neutral,0.37810027599334717,0.5777096748352051,0.044189974665641785,contradiction,ref
Unfortunately the hotel is missing the availability of a pool.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.6390407681465149,0.346573144197464,0.014386030845344067,neutral,0.10253748297691345,0.8840094804763794,0.013453040271997452,contradiction,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9976911544799805,0.0009415069944225252,0.0013673588400706649,neutral,0.9975202679634094,0.0007169348536990583,0.0017628070199862123,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9976661205291748,0.0007648126338608563,0.0015690999571233988,neutral,0.9971441626548767,0.0005721332272514701,0.0022837005089968443,neutral,ref
The rooms are a good size and well decorated.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9974525570869446,0.0006344711873680353,0.0019129858119413257,neutral,0.9970038533210754,0.0005161273293197155,0.0024800244718790054,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9976062774658203,0.0006628697738051414,0.0017307838425040245,neutral,0.997671902179718,0.001027899794280529,0.0013002114137634635,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9971187114715576,0.0019388053333386779,0.0009425339521840215,neutral,0.9977600574493408,0.0010625639697536826,0.001177349011413753,neutral,ref
The hotel has a roof terrace for drinks.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.997805655002594,0.0008139355923049152,0.0013803980546072125,neutral,0.9977990984916687,0.000991172855719924,0.0012096858117729425,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.27100399136543274,0.7269246578216553,0.0020713377743959427,contradiction,0.38963985443115234,0.6080411076545715,0.0023190737701952457,contradiction,ref
The hotel is especially memorable during a winter stay.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9974493384361267,0.0005760809872299433,0.001974509796127677,neutral,0.9977619647979736,0.0009240566869266331,0.001313946326263249,neutral,ref
The room was okay but on the small side including the bathroom as well.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9743505716323853,0.024771936237812042,0.000877473852597177,neutral,0.9964130520820618,0.0027780651580542326,0.0008089129696600139,neutral,ref
After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9976710677146912,0.0006824478623457253,0.0016464389627799392,neutral,0.9975918531417847,0.001257109921425581,0.0011511215707287192,neutral,ref
Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.9977062940597534,0.0012762662954628468,0.0010174138005822897,neutral,0.9974853992462158,0.0015553717967122793,0.0009592439164407551,neutral,ref
"But a coffee maker and coffee was not free of charge, which is unusual.",The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.5945048928260803,0.4038401246070862,0.0016549222636967897,neutral,0.9953312277793884,0.003912175539880991,0.0007565417909063399,neutral,ref
Whilst the toiletries were really great there was an issue with the toilet.,The staff at the hotel were incredibly accommodating and the hotel was well located.,20,0.7138705849647522,0.28368550539016724,0.002443962264806032,neutral,0.9906219244003296,0.008673364296555519,0.0007047001854516566,neutral,ref
This is a hotel located in an excellent place.,"This hotel is great and pretty amazing, and you would definitely want to return.",21,0.951708197593689,0.0006288642762228847,0.04766300320625305,neutral,0.6928971409797668,0.0009620730997994542,0.3061407208442688,neutral,ref
This is a hotel located in an excellent place.,"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",21,0.9973058700561523,0.0005937823443673551,0.002100396202877164,neutral,0.589563250541687,0.0014387932606041431,0.40899792313575745,neutral,ref
This is a hotel located in an excellent place.,"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",21,0.9716721773147583,0.027639145031571388,0.0006886485498398542,neutral,0.9938761591911316,0.005268842447549105,0.0008549378835596144,neutral,ref
This is a hotel located in an excellent place.,"There was a lot of noise that could be heard from the room, as well.",21,0.9974184036254883,0.0014870044542476535,0.001094556413590908,neutral,0.9975326061248779,0.0015657355543226004,0.0009015931864269078,neutral,ref
This is a hotel located in an excellent place.,"The hotel's breakfast is in included in the room's price, but a little expensive.",21,0.9978241920471191,0.0011629682267084718,0.0010128553258255124,neutral,0.9903575778007507,0.008678901009261608,0.0009635680471546948,neutral,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,"This hotel is great and pretty amazing, and you would definitely want to return.",21,0.9958083629608154,0.003217848716303706,0.0009737622458487749,neutral,0.9976398944854736,0.0013961707009002566,0.0009639601921662688,neutral,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",21,0.9961303472518921,0.0005013418849557638,0.0033683183137327433,neutral,0.9978272318840027,0.000876929669175297,0.001295771449804306,neutral,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",21,0.9795531630516052,0.01907862164080143,0.001368290395475924,neutral,0.4809245467185974,0.5169417858123779,0.0021336176432669163,contradiction,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,"There was a lot of noise that could be heard from the room, as well.",21,0.9976614713668823,0.0013955513713881373,0.0009429265046492219,neutral,0.1790250986814499,0.8169865012168884,0.003988374024629593,contradiction,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,"The hotel's breakfast is in included in the room's price, but a little expensive.",21,0.9973164200782776,0.0015575216384604573,0.0011260849423706532,neutral,0.8804638385772705,0.10405846685171127,0.015477715991437435,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,"This hotel is great and pretty amazing, and you would definitely want to return.",21,0.9855923652648926,0.003156120190396905,0.011251513846218586,neutral,0.9974287152290344,0.0008688753587193787,0.0017023715190589428,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",21,0.9977744221687317,0.0008337977342307568,0.0013917484320700169,neutral,0.9976189732551575,0.0009036619449034333,0.0014773670118302107,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",21,0.004580079112201929,0.9952574372291565,0.00016239454271271825,contradiction,0.277085542678833,0.7170790433883667,0.005835365504026413,contradiction,ref
Rooms on the higher floors are excellent as they can provide a great view.,"There was a lot of noise that could be heard from the room, as well.",21,0.995834231376648,0.003497667610645294,0.0006680494407191873,neutral,0.966790497303009,0.031491465866565704,0.0017180289141833782,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,"The hotel's breakfast is in included in the room's price, but a little expensive.",21,0.9976656436920166,0.0014252463588491082,0.00090918003115803,neutral,0.9975019097328186,0.00159703369718045,0.000901047489605844,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.","This hotel is great and pretty amazing, and you would definitely want to return.",21,0.9632973074913025,0.0006602205685339868,0.03604242205619812,neutral,0.9974937438964844,0.000695826718583703,0.0018104605842381716,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.","The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",21,0.9978025555610657,0.0010726676555350423,0.001124709495343268,neutral,0.9976934790611267,0.001151870470494032,0.0011546419700607657,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.","The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",21,0.3489353358745575,0.6493521928787231,0.0017124286387115717,contradiction,0.9702571034431458,0.024214236065745354,0.005528632085770369,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.","There was a lot of noise that could be heard from the room, as well.",21,0.9927138686180115,0.0066861845552921295,0.0005999650456942618,neutral,0.7494417428970337,0.2488982081413269,0.0016599908703938127,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.","The hotel's breakfast is in included in the room's price, but a little expensive.",21,0.9965943694114685,0.0024782319087535143,0.0009274249896407127,neutral,0.9962288737297058,0.0030205585062503815,0.0007505725370720029,neutral,ref
The hotel's complimentary breakfast was really good.,"This hotel is great and pretty amazing, and you would definitely want to return.",21,0.9748126864433289,0.002134721726179123,0.023052604869008064,neutral,0.997435986995697,0.0011571876239031553,0.0014068938326090574,neutral,ref
The hotel's complimentary breakfast was really good.,"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",21,0.9977908134460449,0.001035864930599928,0.0011733644641935825,neutral,0.997441291809082,0.0013984645484015346,0.0011601902078837156,neutral,ref
The hotel's complimentary breakfast was really good.,"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",21,0.9787911176681519,0.020450349897146225,0.0007584620616398752,neutral,0.9961774349212646,0.0031280952971428633,0.0006944705964997411,neutral,ref
The hotel's complimentary breakfast was really good.,"There was a lot of noise that could be heard from the room, as well.",21,0.9929747581481934,0.006428584456443787,0.0005966140306554735,neutral,0.5268449783325195,0.47104957699775696,0.002105441177263856,neutral,ref
The hotel's complimentary breakfast was really good.,"The hotel's breakfast is in included in the room's price, but a little expensive.",21,0.854131281375885,0.1358090043067932,0.010059664025902748,neutral,0.9810670614242554,0.017338259145617485,0.0015946613857522607,neutral,ref
This is a hotel located in an excellent place.,The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9853249192237854,0.013692156411707401,0.0009829273913055658,neutral,0.9523435831069946,0.045518599450588226,0.0021378658711910248,neutral,ref
This is a hotel located in an excellent place.,The hotel is also located near to CN Tower.,21,0.9977902173995972,0.0009556611767038703,0.0012541197938844562,neutral,0.9173433780670166,0.0018048580968752503,0.08085178583860397,neutral,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9930764436721802,0.004791647661477327,0.002131873741745949,neutral,0.4899323582649231,0.5032904148101807,0.006777248345315456,contradiction,ref
It is perfect to walk to the entertainment district as well as pubs and restaurants.,The hotel is also located near to CN Tower.,21,0.997776210308075,0.0011593435192480683,0.001064468058757484,neutral,0.9977865219116211,0.0010790377855300903,0.0011344074737280607,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9894750118255615,0.008411736227571964,0.0021132254041731358,neutral,0.9794548749923706,0.017000913619995117,0.003544249339029193,neutral,ref
Rooms on the higher floors are excellent as they can provide a great view.,The hotel is also located near to CN Tower.,21,0.9977385997772217,0.0012267869897186756,0.001034589484333992,neutral,0.997642457485199,0.0009571851114742458,0.0014003042597323656,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9910551309585571,0.008085355162620544,0.0008594422251917422,neutral,0.9720035195350647,0.02698812447488308,0.0010084124514833093,neutral,ref
"The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful.",The hotel is also located near to CN Tower.,21,0.9975813627243042,0.0014188254717737436,0.0009998385794460773,neutral,0.9978076815605164,0.0010303634917363524,0.0011619807919487357,neutral,ref
The hotel's complimentary breakfast was really good.,The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.991339385509491,0.006361423991620541,0.00229921517893672,neutral,0.9642964005470276,0.03487367928028107,0.0008299778564833105,neutral,ref
The hotel's complimentary breakfast was really good.,The hotel is also located near to CN Tower.,21,0.997591495513916,0.0014142028521746397,0.000994321657344699,neutral,0.9976091384887695,0.0012536286376416683,0.0011372281005606055,neutral,ref
"This hotel is great and pretty amazing, and you would definitely want to return.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.847199022769928,0.15107853710651398,0.0017224896000698209,neutral,0.02589578367769718,0.9725781083106995,0.0015261525986716151,contradiction,ref
"This hotel is great and pretty amazing, and you would definitely want to return.",The hotel is also located near to CN Tower.,21,0.9977152347564697,0.0011171763762831688,0.0011675646528601646,neutral,0.9977219700813293,0.0011327099055051804,0.0011452932376414537,neutral,ref
"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9977280497550964,0.0013242060085758567,0.0009477714193053544,neutral,0.9974551796913147,0.0016335282707586884,0.0009113469859585166,neutral,ref
"The hotel is located close to the CN Tower, the hockey Hall of Fame and the Rogers Centre for example.",The hotel is also located near to CN Tower.,21,0.032448384910821915,0.004661337938159704,0.9628903269767761,entailment,0.9972755312919617,0.0008554462110623717,0.001869009924121201,neutral,ref
"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9962312579154968,0.0018839624244719744,0.0018847620813176036,neutral,0.9959424138069153,0.0034182604867964983,0.0006393631338141859,neutral,ref
"The deluxe room was quite small and didn't have a view at all, but it was pretty clean.",The hotel is also located near to CN Tower.,21,0.9884097576141357,0.010856100358068943,0.0007341570453718305,neutral,0.992871105670929,0.006565926130861044,0.0005629424122162163,neutral,ref
"There was a lot of noise that could be heard from the room, as well.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9890845417976379,0.006001441273838282,0.004913991782814264,neutral,0.9966997504234314,0.0025805276818573475,0.0007196496590040624,neutral,ref
"There was a lot of noise that could be heard from the room, as well.",The hotel is also located near to CN Tower.,21,0.9974192380905151,0.0017097239615395665,0.0008710491238161922,neutral,0.9974242448806763,0.0015061229933053255,0.0010696916142478585,neutral,ref
"The hotel's breakfast is in included in the room's price, but a little expensive.",The staff have been okay at this hotel and sometimes were great and helpful but at times they wouldn't treat guests incredibly well.,21,0.9960371851921082,0.0021586590446531773,0.0018042328301817179,neutral,0.9964408278465271,0.002785418415442109,0.0007737154955975711,neutral,ref
"The hotel's breakfast is in included in the room's price, but a little expensive.",The hotel is also located near to CN Tower.,21,0.9973734617233276,0.0017664161277934909,0.000860157422721386,neutral,0.9977686405181885,0.0011908801971003413,0.0010404752101749182,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.",Despite being interconnected to the airport this is a very quiet hotel that was actually awarded for being the best airport hotel.,22,0.5166175961494446,0.4754713475704193,0.007911096327006817,neutral,0.9882727265357971,0.0056710573844611645,0.006056251469999552,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.",It is a fantastic hotel overall and you will probably wish to return to it.,22,0.7562956809997559,0.24197204411029816,0.0017322273924946785,neutral,0.9505623579025269,0.046517450362443924,0.002920221770182252,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.",This hotel is ideally located for those who are flying as it is close to the airport and makes it superb for early flight visitors.,22,0.23344384133815765,0.7637448310852051,0.002811276353895664,contradiction,0.9925053119659424,0.006028986535966396,0.0014657299034297466,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.","The rooms in the hotel are large and spacious , but some of the electrical items in the room were not functioning.",22,0.9419065117835999,0.05577515810728073,0.002318380167707801,neutral,0.7651877403259277,0.0022920258343219757,0.2325201779603958,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.",The buffet breakfast was great.,22,0.9830401539802551,0.016196420416235924,0.000763441901654005,neutral,0.9744831323623657,0.005772836040705442,0.01974404975771904,neutral,ref
"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district.",The luggage was dealt with really well and the check-in experience was super efficient.,22,0.06879644840955734,0.9299082159996033,0.0012953741243109107,contradiction,0.9447669982910156,0.028195155784487724,0.027037866413593292,neutral,ref
The rooms are really modern but unfortunately lacking in style and space.,Despite being interconnected to the airport this is a very quiet hotel that was actually awarded for being the best airport hotel.,22,0.7015693783760071,0.29630106687545776,0.0021295775659382343,neutral,0.829056441783905,0.16861169040203094,0.0023318547755479813,neutral,ref
The rooms are really modern but unfortunately lacking in style and space.,It is a fantastic hotel overall and you will probably wish to return to it.,22,0.4561661183834076,0.542188823223114,0.0016450714319944382,contradiction,0.04246103763580322,0.9567161798477173,0.0008227007347159088,contradiction,ref
The rooms are really modern but unfortunately lacking in style and space.,This hotel is ideally located for those who are flying as it is close to the airport and makes it superb for early flight visitors.,22,0.2762226462364197,0.7212427258491516,0.0025346383918076754,contradiction,0.5919138193130493,0.40626880526542664,0.0018173734424635768,neutral,ref
The rooms are really modern but unfortunately lacking in style and space.,"The rooms in the hotel are large and spacious , but some of the electrical items in the room were not functioning.",22,0.15764345228672028,0.838650107383728,0.0037065150681883097,contradiction,0.036032333970069885,0.9558444023132324,0.008123313076794147,contradiction,ref
The rooms are really modern but unfortunately lacking in style and space.,The buffet breakfast was great.,22,0.7353840470314026,0.26287439465522766,0.0017416292103007436,neutral,0.5074069499969482,0.4898104667663574,0.002782560884952545,neutral,ref
The rooms are really modern but unfortunately lacking in style and space.,The luggage was dealt with really well and the check-in experience was super efficient.,22,0.2279997318983078,0.7703598141670227,0.0016404094640165567,contradiction,0.45178988575935364,0.545905590057373,0.0023044850677251816,contradiction,ref
"The hotel has a cafe that provides lunch but it was really expensive and equally as disappointing, however you can get drinks from the bar that's in the foyer.",Despite being interconnected to the airport this is a very quiet hotel that was actually awarded for being the best airport hotel.,22,0.842682421207428,0.15512818098068237,0.0021893430966883898,neutral,0.9932591915130615,0.0060303471982479095,0.0007105163531377912,neutral,ref
