,example_no,split,entity_a,entity_a_name,entity_b,entity_b_name,summ_type,summ_no,sent_id,complex_sent,simple_sent_id,simple_sent,negated_simple_sent,Completed
28,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N002,Whilst somewhat nice to be away from the main strip it could have been closer to the main attractions.,E000RB00N002_001,It could have been closer to the main attractions.,,
29,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N003,Some of the staff were rude and unhelpful.,E000RB00N003_000,Some of the staff were rude.,,
30,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N003,Some of the staff were rude and unhelpful.,E000RB00N003_001,Some of the staff were unhelpful.,,
31,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N004,"You can eat your breakfast at the outside restaurant when staying at this hotel, which is really enjoyable.",E000RB00N004_000,You can eat your breakfast at the outside restaurant when staying at this hotel.,,
32,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N004,"You can eat your breakfast at the outside restaurant when staying at this hotel, which is really enjoyable.",E000RB00N004_001,Eating at the outside restaurant is really enjoyable.,,
33,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_000,This is a great stay.,,
34,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_001,You can ask for a reduced rate.,,
35,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_002,The reduced rate is available for Florida residents.,,
36,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N006,"The pool is really worth checking out, as well at the hot tub.",E000RB00N006_000,The pool is really worth checking out.,,
37,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N006,"The pool is really worth checking out, as well at the hot tub.",E000RB00N006_001,The hot tub is also worth checking out.,,
38,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_comm,0,E000RC00N000,The hotel is recommended and the staff there were friendly and helpful to guests.,E000RC00N000_000,The hotel is recommended.,,
39,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_comm,0,E000RC00N000,The hotel is recommended and the staff there were friendly and helpful to guests.,E000RC00N000_001,The staff there were friendly and helpful to guests.,,
40,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N000,The hotel has an enjoyable ambience and is great value for money.,E001RA00N000_000,The hotel has an enjoyable ambience.,The hotel has a miserable ambience.,Yes
41,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N000,The hotel has an enjoyable ambience and is great value for money.,E001RA00N000_001,The hotel is great value for money.,The hotel is bad value for money.,Yes
42,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N001,"This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on.",E001RA00N001_000,This location is great for accessing the great fun and action close-by.,This location is bad for accessing the great fun and action close-by.,Yes
43,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N001,"This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on.",E001RA00N001_001,There is hustle-and-bustle noise from the street the hotel is located on.,There is no noise from the street the hotel is located on.,Yes
44,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_000,The rustic rooms here are a little small.,The rustic rooms here are too large.,Yes
45,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_001,The rustic rooms here are really comfortable and clean.,The rustic rooms here are really uncomfortable and dirty.,Yes
46,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_002,The beds are big.,The beds are small.,Yes
47,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_000,There was a thatched roof to the room.,There was no thatched roof to the room.,Yes
48,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_001,The thatched roof provided an airy feel.,The thatched roof provided a stuffy feel.,Yes
49,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_002,The thatched roof was not soundproof.,The thatched roof was soundproof.,Yes
50,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_000,The hotel provides great breakfast.,The hotel provides terrible breakfast.,Yes
51,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_001,The breakfast can be eaten above the garden.,The breakfast can not be eaten above the garden.,Yes
52,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_002,The breakfast can be taken away.,The breakfast can not  be taken away.,Yes
53,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N005,The hotel does not provide private parking unfortunately.,E001RA00N005_000,The hotel does not provide private parking.,The hotel does provide private parking.,Yes
54,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N000,The hotel is a highlight of the Yucatan province and is different to the commercial areas such as Cancun.,E001RB00N000_000,The hotel is a highlight of the Yucatan province.,,
55,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N000,The hotel is a highlight of the Yucatan province and is different to the commercial areas such as Cancun.,E001RB00N000_001,The hotel is different from commercial areas such as Cancun.,,
56,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N001,The food at the hotel is highly recommended and in general the hotel's worth repeat visits.,E001RB00N001_000,The food at the hotel is highly recommended.,,
57,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N001,The food at the hotel is highly recommended and in general the hotel's worth repeat visits.,E001RB00N001_001,"In general, the hotel is worth repeat visits.",,
58,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N002,The location is absolutely perfect and is really close to shopping and restaurants options.,E001RB00N002_000,The location is absolutely perfect.,,
59,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N002,The location is absolutely perfect and is really close to shopping and restaurants options.,E001RB00N002_001,It is really close to shopping and restaurant options.,,
60,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N003,The rooms are basic but the showers work well.,E001RB00N003_000,The rooms are basic.,,
61,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N003,The rooms are basic but the showers work well.,E001RB00N003_001,The showers work well.,,
62,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N004,"The rooms are purposefully lacking in mod cons such as TVs, radios and phones.",E001RB00N004_000,The rooms are purposefully lacking in mod cons.,,
63,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N004,"The rooms are purposefully lacking in mod cons such as TVs, radios and phones.",E001RB00N004_001,"There are no TVs, radios, or phones in the rooms.",,
64,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N005,"Uniquely, the towels provided in the room are sculpted into animal shapes.",E001RB00N005_000,The towels provided in the room are sculpted into animal shapes.,,
65,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N005,"Uniquely, the towels provided in the room are sculpted into animal shapes.",E001RB00N005_001,This is a unique feature of the hotel.,,
66,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N006,The two big-sized pools were perfect as well as some ping-pong tables.,E001RB00N006_000,There were two big-sized pools that were perfect.,,
67,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N006,The two big-sized pools were perfect as well as some ping-pong tables.,E001RB00N006_001,There were some ping-pong tables.,,
68,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N007,The internet accessibility is a bit of a let-down unfortunately.,E001RB00N007_000,The internet accessibility is a bit of a let-down.,,
69,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_comm,0,E001RC00N000,The staff at the hotel were friendly and helpful and it is very close to the beach.,E001RC00N000_000,The staff at the hotel were friendly and helpful.,,
70,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_comm,0,E001RC00N000,The staff at the hotel were friendly and helpful and it is very close to the beach.,E001RC00N000_001,It is very close to the beach.,,
71,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N000,This is a really great place to stay and it's really quiet.,E002RA00N000_000,This is a really great place to stay.,This is a really bad place to stay.,Yes
72,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N000,This is a really great place to stay and it's really quiet.,E002RA00N000_001,It's really quiet.,It's really loud.,Yes
73,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_000,The station is really close to the hotel.,The station is really far from the hotel.,Yes
74,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_001,The station is located in an old monastery.,The station is not located in an old monastery.,Yes
75,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_002,The monastery is set in beautiful gardens.,The monastery does not have any beautiful gardens.,Yes
76,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_000,The rooms in the hotel are spacious.,The rooms in the hotel are cramped.,Yes
77,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_001,The rooms in the hotel are clean.,The rooms in the hotel are dirty.,Yes
78,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_002,The rooms in the hotel have air conditioning.,The rooms in the hotel have no air conditioning.,Yes
79,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N003,The food at the hotel is reasonably priced.,E002RA00N003_000,The food is available at the hotel.,There is no food available at the hotel.,Yes
80,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N003,The food at the hotel is reasonably priced.,E002RA00N003_001,The price of the food is reasonable.,The price of the food is unreasonable.,Yes
81,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N004,The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.,E002RA00N004_000,The hotel lobby provides free wireless internet.,The hotel lobby provides no free wireless internet.,Yes
82,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N004,The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.,E002RA00N004_001,You can borrow one of their laptops if needed.,You can not borrow one of their laptops if needed.,Yes
83,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N000,This hotel is great value and definitely adds to make your trip really special and enjoyable.,E002RB00N000_000,This hotel is great value.,,
84,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N000,This hotel is great value and definitely adds to make your trip really special and enjoyable.,E002RB00N000_001,This hotel definitely adds to make your trip really special and enjoyable.,,
85,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N001,There were some great places within walking distance at this hotel.,E002RB00N001_000,There were great places within walking distance at this hotel.,,
86,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N002,The hotel has well equipped and nicely decorated rooms but the rooms with views are rather expensive.,E002RB00N002_000,The hotel has well-equipped and nicely decorated rooms.,,
87,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N002,The hotel has well equipped and nicely decorated rooms but the rooms with views are rather expensive.,E002RB00N002_001,The rooms with views are rather expensive.,,
88,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_000,The breakfast food items were really varied and very tasty.,,
89,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_001,I couldn't recommend it enough.,,
90,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_002,This hotel could be improved if there was a lagoon view.,,
91,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_comm,0,E002RC00N000,The staff at the hotel were very helpful.,E002RC00N000_000,The staff were at the hotel.,,
92,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_comm,0,E002RC00N000,The staff at the hotel were very helpful.,E002RC00N000_001,The staff were very helpful.,,
93,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N000,If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience.,E003RA00N000_000,"If you're looking for a decent clean hotel, then this is the right one for you.","If you're looking for a decent clean hotel, then this is not the right one for you.",Need Help
94,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N000,If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience.,E003RA00N000_001,It provides a pleasant and unforgettable experience.,It provides a bad and forgettable experience.,Yes
95,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_000,This is a nice location.,This is a terrible location.,Yes
96,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_001,You can see the Colosseum from the hotel.,You can not see the Colosseum from the hotel.,Yes
97,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_002,The Colosseum is less than a ten-minute walk away.,The Colosseum is too far away to walk to.,Yes
98,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N002,"The rooms in the hotel are nicely decorated, although some may find the bed small.",E003RA00N002_000,The rooms in the hotel are nicely decorated.,The rooms in the hotel are poorly decorated.,Yes
99,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N002,"The rooms in the hotel are nicely decorated, although some may find the bed small.",E003RA00N002_001,Some may find the bed small.,Some may find the bed big.,Yes
100,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N003,The day staff spoke English.,E003RA00N003_000,The day staff spoke English.,The day staff did not speak English.,Yes
101,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N004,The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace.,E003RA00N004_000,The hotel has a continental buffet breakfast.,The hotel has no continental buffet breakfast.,Yes
102,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N004,The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace.,E003RA00N004_001,Good cappuccino is available on the roof terrace.,Bad cappuccino is available on the roof terrace.,Yes
103,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N005,The breakfast is very tasty.,E003RA00N005_000,The breakfast is tasty.,The breakfast is not tasty.,Yes
104,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N006,The showers in the hotel bathrooms are a little small.,E003RA00N006_000,The showers in the hotel bathrooms are small.,The showers in the hotel bathrooms are large.,Yes
105,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N000,The stay at the hotel was comfortable and felt like a home away from home.,E003RB00N000_000,The stay at the hotel was comfortable.,,
106,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N000,The stay at the hotel was comfortable and felt like a home away from home.,E003RB00N000_001,The stay at the hotel felt like a home away from home.,,
107,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N001,Definitely recommended.,E003RB00N001_000 ,Definitely recommended.,,
108,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N002,"The hotel is in a good location for a short walk to the main train terminus, as well as a tube line going to all the historic sites of Rome.",E003RB00N002_000,The hotel is in a good location for a short walk to the main train terminus.,,
109,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N002,"The hotel is in a good location for a short walk to the main train terminus, as well as a tube line going to all the historic sites of Rome.",E003RB00N002_001,There is a tube line going to all the historic sites of Rome.,,
110,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N003,The hotel is also closely located to a supermarket.,E003RB00N003_000,The hotel is closely located to a supermarket.,,
111,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N004,The rooms in the hotel are clean and with a view .,E003RB00N004_000,The rooms in the hotel are clean.,,
112,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N004,The rooms in the hotel are clean and with a view .,E003RB00N004_001,The rooms in the hotel have a view.,,
113,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N005,The breakfast here at the hotel was really good and had a great range from pastries to scrambled eggs.,E003RB00N005_000,The breakfast at the hotel was really good.,,
114,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N005,The breakfast here at the hotel was really good and had a great range from pastries to scrambled eggs.,E003RB00N005_001,The breakfast had a great range from pastries to scrambled eggs.,,
115,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N006,Very tasty.,E003RB00N006_000,The food/dish is very tasty.,,
116,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N000,The hotel is ideally located and good for local public transportation.,E003RC00N000_000,The hotel is ideally located.,,
117,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N000,The hotel is ideally located and good for local public transportation.,E003RC00N000_001,The hotel is good for local public transportation.,,
118,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N001,The staff at the hotel were very helpful too.,E003RC00N001_000,The staff at the hotel were very helpful.,,
119,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_000,This is a great condo.,This is a terrible condo.,Yes
120,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_001,The condo was comfortable.,The condo was uncomfortable.,Yes
121,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_002,The condo was convenient.,The condo was inconvenient.,Yes
122,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_003,Staying in the condo was much nicer than staying in a hotel.,Staying in the condo was much worse than staying in a hotel.,Yes
123,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N001,It would be a shame not to come back again.,E004RA00N001_000,It would be a shame not to come back again.,I would not come back to this hotel.,Yes
